brand,name,bodyType,color,fuelType,year,mileage,transmission,power,price,vehicleConfiguration,engineName,engineDisplacement,date,location,link,description,parse_date
BMW,5-Series,Седан,Синий,Бензин,2011.0,176000.0,АКПП,245.0,1980000,528i AT,N20B20,2.0 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/bmw/5-series/50403626.html,"Продаю живую пятерку. Немецкая сборка, задний привод, модификация 528i (доналоговый мотор 245 сил), в заводском М-пакете, с черным потолком, опциональным цветом кузова Carbonschwarz и расширенным пакетом Shadow line (антихром кузовных элементов). Я четвертый владелец, были смены номеров, поэтому записей больше, копия оригинала птс на руках. Автомобиль в идеальном состоянии насколько это возможно для машины 12 года с пробегом 176 тыс.км. Ни одна деталь кузова не снималась и не красилась вообще никогда, приезжайте с любыми мастерами и приборами. Никаких ДТП в базе также нет. Красился недавно только передний бампер от сколов, после чего кузов был полностью отполирован и покрыт керамическим составом. Также сделана полная химчистка салона, вся кожа снова стала матовой. Руль в заводской коже и в отличном состоянии, также матовый. Помимо этого разбирались фары, менялись линзы и лампы на новые, покрасили маски в серый цвет (как задний диффузор), поставили новые стекла и наклеили полиуретан. С птф та же история, полностью восстановлены. Оптика светит отлично. На всех стеклах нанесена новая солнцезащитная пленка (задняя полусфера 35% и 50% Lluamar, передняя атермальная пленка 3М). Вся передняя оптика, а также места под ручками дверей и элементы Shadow line покрыты полиуретановой пленкой. Колёса разноширокие: передние 8,5j (245/40 r19), задние 10j (275/35 r19). Резина практически новая. Также отдам и штатный комплект колес r18 на зимней резине. Технически автомобиль полностью исправен и обслужен. На пробеге 150 тыс.км. были заменены цепи и ваносы, проинспектирована турбина, заменено масло в коробке и редукторе (все запчасти и жидкости исключительно оригинал). С машиной отдам кучу старых запчастей и заказ-нарядов, подтверждающих уровень обслуживания и ухода за авто. При эксплуатации с головой, данный автомобиль не потребует никаких вложений несколько ближайших лет. Рынок видел, в других машинах сидел, кого не устраивает ценник, прошу пройти мимо. Машина для ценителей марки в целом и данной модели в частности. С адекватным человеком готов к конструктивному диалогу.",2023-05-02 18:00:00
BMW,5-Series,Седан,Серый,Бензин,2003.0,312000.0,АКПП,170.0,550000,520i AT,M54B22,2.2 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/bmw/5-series/49319310.html,"Авто в хорошем состоянии едет бодро, провел большое ТО свечи, масло, колодки, фильтра, в общем заменил все расходники и все что требовалось, для долгой и надежной эксплуатации, вложил немало немного 80 т.р., ходовка в норме, вложений не требует. АКП - провел полную диагностику с заменой масла. Остальные вопросы по телефону, торг уместен. Авто выходного дня эксплуатируется редко, так как у меня есть вторая машина. звоните с 9 до 22:00 ч. Осмотр Майкопе. в будни после 18 часа. ТОРГ. Номер 520.01 в подарок.",2023-05-02 12:00:00
BMW,7-Series,Седан,Черный,Бензин,2006.0,215000.0,АКПП,306.0,605000,740Li AT,N62B40,4.0 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/bmw/7-series/48765666.html,двигатель акпп отлично ход то-же не гремит не стучит потолок алькантара. люк работает не тячет. диски R 19 не залог не арест. шторы работают.до тяшки на всех двер работает 2007г цена как приора.ОБМЕН НЕ ИНТЕРЕСЕН.ТОРГ. НЕ БОЛЬШОЙ. НА БЕНЗИН. СРОЧНЫМ ТОРГ БУДЕТ.ЗВОНИТЕ СПРАШИВАЙТЕ.,2023-05-02 12:00:00
Toyota,Land Cruiser Prado,Джип 5 дв.,Белый,Дизель,2010.0,229000.0,АКПП,173.0,2290000,3.0 TD AT Luxe,1KD-FTV,3.0 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/toyota/land_cruiser_prado/45180843.html,"В отличном состояние, вложений не требует. Пробег 100% оригинал. Меняю масло в ДВС, все фильтра, включая топливный раз в 5000 км. Шприцую карданы и обслуживаю механизм запаски каждый месяц (менее 1000км). Новые аккумуляторы, масла заменены везде. Не давно обслужил форсунки. Заглушил клапан ЕГР (механически и программно). Установлена сигнализация с автозапуском. Поставил фаркоп, но ни разу ещё не пользовался. Холодильник, КДСС.Резина почти новая Dunlop R18. Масло не ест вообще. Машина привлекает взгляды прохожих, салон не затертый. Я хозяин и оформлена на меня. Машину не нализал, ни чего не спрятал показываю все как есть, руль не перешит. эксплуатирую дом-работа-дом.",2023-05-02 12:00:00
Лада,2105,Седан,Красный,Бензин,1980.0,93000.0,Механика,71.0,80000,1.5 MT4 21053,ВАЗ-2103,1.5 LTR,2023-04-04 00:00:00,Ханская,https://hanskaya.drom.ru/lada/2105/49684086.html,"Продаю ваз 2105, машина рабочая, не гнилая, не прелая, новый аккамулятор, новые колёса, новый радиатор, рулевая, амортизаторы и рычаги. Все вопросы по телефону, торг возле капота",2023-05-02 12:00:00
Chevrolet,Lacetti,Хэтчбек 5 дв.,Черный,Бензин,2004.0,185000.0,Механика,109.0,345000,1.6 MT Platinum,F16D3,1.6 LTR,2023-04-04 00:00:00,Майкоп,https://maykop.drom.ru/chevrolet/lacetti/50399698.html,"Продам Chevrolet Lacetti 1.6 в хорошем техническом и внешнем состоянии. Мотор, коробка , подвеска - без нареканий. Мотор, коробка - капиталились пару лет назад. Подвеску перебирали полтора года назад. В одних руках около 5ти лет. Последние полгода больше стояла , поэтому стоит немного обслужить: фильтра , масла и так далее. Кузов ровный, крашенные детали есть - без глупых вопросов. Максимальная комплектация: - 4 электро стеклоподъемника - Электрорегулировка зеркал - Мультируль - Климат-контроль По документам чистая: штрафов, арестов , ограничений - нет. 2 ключа. Вин на последнем фото. Торг только у капота. ЗВОНИТЬ С 10 УТРА, ДО 9 ВЕЧЕРА.",2023-05-02 12:00:00
Audi,A4,Универсал,Зеленый,Дизель,1998.0,387000.0,Механика,110.0,388888,1.9 TDI quattro MT,AVG,1.9 LTR,2023-04-05 00:00:00,Майкоп,https://maykop.drom.ru/audi/a4/50416543.html,В хорошем состоянии много нового. Вопросы по телефону.,2023-05-02 10:00:00
BMW,3-Series,Седан,Черный,Бензин,1998.0,120000.0,Механика,170.0,405000,323i MT,M52B25TU,2.5 LTR,2023-04-05 00:00:00,Майкоп,https://maykop.drom.ru/bmw/3-series/49644936.html,"Машина в майкопе, в хорошем техническом состоянии, более подробно по телефону. Торг НЕЕЕЕТТ НЕТ НЕТ НЕТ НЕТ . Доки ровные без залогов и тд",2023-05-02 10:00:00
Toyota,Estima Emina,Минивэн,Серый,Дизель,1992.0,180000.0,АКПП,100.0,440000,2.2DT G luxury middle roof,3C-T,2.2 LTR,2023-04-05 00:00:00,Красногвардейское,https://krasnogvardeyskoe-maikop.drom.ru/toyota/estima_emina/50420577.html,авто без вложений всё работает новая резина 2 люка двухзоный кондей 7 мест есть багажник на всю машину ни намека на ржавчину,2023-05-02 10:00:00
Opel,Corsa,Хэтчбек 5 дв.,Серебристый,Бензин,2004.0,213000.0,Механика,60.0,180000,1.0 MT Cool 5dr.,Z10XEP,1.0 LTR,2023-04-06 00:00:00,Энем,https://enem.drom.ru/opel/corsa/50431276.html,"Отличная машина, расход 4.5-5 л, обслуживается вовремя, масло от замены до замены. Готов к любым проверкам, о ржавчине даже говорить нечего,ее просто нет и даже рыжиков (настоящий немец оцинкованный). Хороший кондиционер заправлен проверен, печка очень жаркая,передние стеклоподъемник центральный замок Есть ограничения готов написать генералку в течении полугода будет погашена Торг на месте. С продажей не спешу, перекупам не беспокоить. За меньшую сумму рассматривайте Ваз",2023-05-03 21:00:00
